size,mean_age,sd_age,n
1,94.0185,188.3469,755725
2,78.4629,72.62,114696
3,80.9786,70.8281,67123
4,83.3457,70.0485,44974
5,86.7041,72.2809,32103
6,87.8616,71.0775,24227
7,89.6557,71.2877,18544
8,90.478,71.9066,14591
9,92.9553,73.0728,11643
10,94.4777,74.2561,9500
11,95.3988,73.5565,7954
12,95.9202,72.8146,6582
13,97.1909,75.8494,5548
14,100.2192,77.4794,4745
15,97.2235,75.0813,4268
16,101.1698,76.8745,3592
17,102.2096,77.1156,3154
18,101.9182,77.2771,2923
19,102.6525,79.4332,2596
20,102.7925,76.1072,2289
21,102.3688,75.3283,2009
22,102.3018,76.755,1932
23,106.7984,79.1173,1701
24,102.2347,73.1947,1585
25,107.515,81.4988,1365
26,103.8195,74.4611,1352
27,106.1624,77.4906,1207
28,110.0402,82.7812,1244
29,103.6691,75.8668,1079
30,107.4834,78.8369,1024
31,107.3742,73.8633,930
32,112.0702,81.2687,869
33,111.0156,77.5033,832
34,113.7183,83.5973,774
35,107.5951,77.0005,699
36,110.2382,81.7865,659
37,109.1867,77.3702,632
38,109.3499,76.9238,603
39,109.2641,75.2471,621
40,110.1275,84.5492,549
41,109.7296,72.5419,503
42,105.7969,79.8899,517
43,113.2638,87.9263,470
44,113.3571,77.0439,448
45,111.3718,76.8374,476
46,114.9523,92.0487,419
47,106.9634,74.8884,437
48,111.4599,80.0918,387
49,111.1453,80.0042,344
50,116.9465,81.9001,355
51,114.0274,74.5182,329
52,108.5983,75.44,361
53,111.6592,77.6674,355
54,110.3696,76.635,303
55,113.3524,74.7317,315
56,110.585,72.9355,253
57,115.2177,74.225,271
58,111,70.4898,229
59,108.2137,67.4528,234
60,121.1718,87.1099,262
61,107.3395,77.2197,215
62,119.3455,84.3396,246
63,113.8061,75.5459,196
64,119.3854,80.3013,205
65,107.7549,66.5493,204
66,112.37,77.6462,200
67,116.4216,91.2448,204
68,116.1122,81.5455,196
69,109.2222,79.1622,198
70,122.1361,88.9299,169
71,124.1183,92.8535,169
72,108.9038,79.1477,156
73,120.9515,93.3873,165
74,125.9827,94.7372,173
75,109.6989,70.1602,176
76,111.9586,80.2783,145
77,109.1534,70.0964,163
78,120.2338,87.802,154
79,107.7778,68.8599,162
80,100.2574,63.2202,136
81,110.9603,82.7875,151
82,120.9868,84.3997,151
83,119.041,76.1126,122
84,109.1732,75.9981,127
85,118.965,84.1373,143
86,128.144,93.1531,125
87,108.4385,70.2453,130
88,123.2713,81.8378,129
89,123.938,74.6396,129
90,112.614,70.4798,114
91,129.3782,90.0707,119
92,123.7143,75.7388,119
93,124.7757,72.7137,107
94,104.902,72.5191,102
95,115.2614,74.1402,88
96,116,69.1371,101
97,108.7196,65.9554,107
98,120.0842,80.8651,95
99,121.6111,73.2416,90
100,116.5612,80.1616,98
101,126,88.5814,88
102,119.3043,79.5584,92
103,113.8941,82.3431,85
104,101.1325,66.8586,83
105,122.5943,118.2251,106
106,122.8462,76.3044,78
107,113.6771,70.7506,96
108,125.8404,90.5886,94
109,119.6071,80.8098,84
110,117.4103,104.7497,78
111,135.6353,106.149,85
112,108.3855,70.4683,83
113,127.9186,78.1685,86
114,104.5909,49.9002,66
115,132.1818,104.9551,66
116,111.1625,67.9746,80
117,106.1311,65.83,61
118,115.0806,85.1418,62
119,116.4407,73.4432,59
120,113.9848,65.0083,66
121,144.4533,101.9318,75
122,122.6462,101.2036,65
123,124.2656,82.4958,64
124,103.8148,63.8501,54
125,111.8868,63.5781,53
126,101.8382,65.8577,68
127,116.2167,76.3598,60
128,105.7969,80.852,64
129,110.1754,77.6931,57
130,108.1404,106.275,57
131,115.3051,71.8666,59
132,125.2182,78.156,55
133,115.1,86.3777,60
134,120.3729,79.1659,59
135,116.9298,68.651,57
136,126.7959,104.3743,49
137,122.9231,80.9981,52
138,137.4615,98.8305,52
139,117.8,86.8943,45
140,118.8182,71.9736,44
141,120.4634,72.3848,41
142,145.3922,98.011,51
143,128.881,80.6211,42
144,108.4286,64.6204,49
145,128.2791,76.4387,43
146,96.6905,57.8423,42
147,138.881,123.4688,42
148,123.9455,101.7656,55
149,102.4737,68.1381,38
150,113.5,83.0375,40
151,118.6154,82.6244,52
152,148.6829,121.1159,41
153,109.75,52.4799,40
154,130.3091,91.8394,55
155,151.3143,117.971,35
156,137.037,83.2538,27
157,117.0889,86.7255,45
158,120.0417,96.586,48
159,111.5758,73.9278,33
160,132.3226,97.9048,31
161,116.9,87.9635,40
162,127.9474,110.1684,38
163,125.6486,79.3768,37
164,134.0667,93.7829,30
165,111.9677,66.6846,31
166,131.0541,93.5809,37
167,117.2564,66.5581,39
168,125.8788,75.1547,33
169,130.1053,72.817,38
170,113.5349,57.266,43
171,119.5833,62.5696,24
172,130.5217,92.5855,23
173,110.3947,76.4144,38
174,112.4167,46.8123,36
175,124.2308,87.5886,39
176,125.3333,109.8359,33
177,113.1034,62.8816,29
178,115.1579,63.914,38
179,123.2593,64.4716,27
180,105.8696,63.4496,23
181,139.7027,79.6788,37
182,134.2593,114.4524,27
183,143.2105,117.5753,38
184,127.3462,69.6626,26
185,128.2308,82.268,26
186,132.3226,85.4975,31
187,131.9394,111.9994,33
188,111.5161,70.2799,31
189,108.6296,80.3139,27
190,95.7917,52.0409,24
191,101.8438,35.9265,32
192,119,61.189,22
193,125.7097,57.072,31
194,111.4286,69.372,28
195,91.3182,63.8804,22
196,117.76,86.9029,25
197,120.5417,77.4686,24
198,103.3929,60.544,28
199,101.6667,56.1533,24
200,176.7692,120.1285,13
201,116.95,74.2177,20
202,123,65.2195,25
203,111.1429,74.7524,21
204,110.2667,79.4593,15
205,120.9412,90.7321,17
206,113.4118,91.4242,17
207,121.4,91.7428,25
208,121.1364,87.0054,22
209,129.2174,85.6255,23
210,131.4667,87.1598,15
211,138.5517,116.904,29
212,84.5,20.1528,16
213,106.36,47.1804,25
214,102.1053,55.3192,19
215,129.875,85.8792,24
216,126.5789,85.5429,19
217,104.8,56.8283,15
218,102.6818,73.1335,22
219,128.9,82.5839,20
