age,mean_size,sd_size,n
0,1.0048,0.1042,28927
1,1.0544,0.3923,15800
2,1.0982,0.5365,26930
3,1.1459,0.6996,16536
4,1.1908,0.8053,17247
5,1.2425,0.9471,18047
6,1.2906,1.0797,27770
7,1.3879,1.2776,18920
8,1.4241,1.402,24069
9,1.4974,1.5922,10806
10,1.5216,1.6488,5370
11,1.6117,1.9496,17890
12,1.8219,2.3337,14709
13,1.9174,2.4515,13527
14,1.7822,2.5633,17738
15,1.8684,3.0591,6786
16,2.2229,3.395,10167
17,2.1702,3.6107,5229
18,2.0947,3.3023,24611
19,2.4357,3.8672,10802
20,2.6096,4.7335,4939
21,2.4144,4.1861,2215
22,2.7614,6.1842,12054
23,2.9416,5.3338,5904
24,2.4467,5.2677,14100
25,3.0395,6.7196,12162
26,3.3824,8.2904,6133
27,3.5333,7.9778,4708
28,3.265,7.3912,14971
29,3.4182,8.8426,8730
30,3.4376,11.8233,4282
31,3.407,9.0577,14496
32,4.0324,14.8309,13756
33,3.4776,9.3288,15315
34,4.621,13.488,2343
35,3.8612,14.9335,13497
36,4.4292,15.4671,6363
37,4.1119,23.4769,18950
38,6.0787,29.9058,6654
39,6.2246,28.8522,2573
40,5.7592,26.3713,3550
41,5.3745,14.7296,4029
42,5.1331,25.4243,13275
43,4.9153,18.6605,5290
44,4.1941,15.3494,15275
45,7.5357,31.4783,7515
46,7.4019,53.7824,8825
47,5.1199,23.6757,12662
48,6.9473,42.7211,4176
49,6.1303,26.8123,15568
50,7.8504,33.645,1691
51,9.7062,59.9815,3499
52,7.7748,38.8724,4632
53,8.257,35.059,2342
54,11.2641,149.9656,6245
55,7.1843,51.1237,10774
56,10.2717,63.5633,2190
57,8.2991,55.6821,4005
58,7.0364,43.1089,15508
59,9.6512,79.5396,4644
60,6.4905,30.775,4049
61,7.2184,59.4528,8750
62,10.6647,76.5618,10048
63,9.865,75.0759,11559
64,12.5749,102.8237,3399
65,9.3173,97.1518,11838
66,12.5046,65.8548,2905
67,13.9766,119.4812,5050
68,11.0136,67.2121,4201
69,11.2625,93.1435,4404
70,13.8148,122.2764,8500
71,15.1836,206.6418,8348
72,13.0794,94.7542,3601
73,21.526,219.5192,3483
74,18.4225,345.5238,2963
75,19.3301,225.3896,4720
76,17.6415,204.922,4039
77,21.3559,352.1763,3737
78,67,1776.179,1730
79,16.4584,148.3013,4287
80,20.7357,239.4986,4960
81,11.079,132.824,8530
82,16.9482,129.1917,2376
83,18.5099,155.0883,2077
84,17.4012,262.8813,3659
85,23.236,215.1269,3402
86,18.6678,514.1153,6140
87,11.0968,66.3442,2293
88,12.9553,107.3129,3065
89,28.4118,272.9249,3434
90,24.8371,368.857,4370
91,16.31,273.63,10253
92,18.2422,138.7078,2473
93,15.6846,86.5057,1227
94,23.0175,287.3511,3248
95,17.6369,135.0813,1633
96,18.7558,166.5377,3874
97,18.6118,127.0588,3130
98,29.9647,486.5066,1047
99,20.8743,172.8854,3030
100,45.4473,896.0741,2191
101,23.5463,389.2649,2678
102,31.3798,430.1092,1069
103,18.4979,268.7172,6973
104,32.3932,647.1573,1058
105,26.6318,330.1586,1165
106,37.319,813.6462,3038
107,19.7002,213.9247,2508
108,22.4482,274.4215,3831
109,21.4351,189.031,947
110,14.434,223.0475,7767
111,30.7993,460.7205,2053
112,25.2304,265.7684,929
113,11.8481,214.501,16627
114,26.5854,259.0394,2610
115,17.4777,204.8836,3996
116,18.1614,213.5134,3599
117,17.4804,107.8688,1455
118,26.8107,408.342,4517
119,14.9719,125.1906,2242
120,17.3066,125.155,2231
121,22.5481,275.5881,3678
122,33.4053,555.8799,3570
123,8.7683,76.4968,5801
