age,count
0,28927
1,15800
2,26930
3,16536
4,17247
5,18047
6,27770
7,18920
8,24069
9,10806
10,5370
11,17890
12,14709
13,13527
14,17738
15,6786
16,10167
17,5229
18,24611
19,10802
20,4939
21,2215
22,12054
23,5904
24,14100
25,12162
26,6133
27,4708
28,14971
29,8730
30,4282
31,14496
32,13756
33,15315
34,2343
35,13497
36,6363
37,18950
38,6654
39,2573
40,3550
41,4029
42,13275
43,5290
44,15275
45,7515
46,8825
47,12662
48,4176
49,15568
50,1691
51,3499
52,4632
53,2342
54,6245
55,10774
56,2190
57,4005
58,15508
59,4644
60,4049
61,8750
62,10048
63,11559
64,3399
65,11838
66,2905
67,5050
68,4201
69,4404
70,8500
71,8348
72,3601
73,3483
74,2963
75,4720
76,4039
77,3737
78,1730
79,4287
80,4960
81,8530
82,2376
83,2077
84,3659
85,3402
86,6140
87,2293
88,3065
89,3434
90,4370
91,10253
92,2473
93,1227
94,3248
95,1633
96,3874
97,3130
98,1047
99,3030
100,2191
101,2678
102,1069
103,6973
104,1058
105,1165
106,3038
107,2508
108,3831
109,947
110,7767
111,2053
112,929
113,16627
114,2610
115,3996
116,3599
117,1455
118,4517
119,2242
120,2231
121,3678
122,3570
123,5801
124,2746
125,4959
126,3473
127,1448
128,3789
129,1412
130,1932
131,2266
132,2784
133,5790
134,1468
135,2519
136,3751
137,1713
138,3527
139,4798
140,1488
141,2143
142,468
143,2305
144,2737
145,843
146,2651
147,1792
148,2045
149,940
150,2074
151,2453
152,1977
153,255
154,1074
155,646
156,2851
157,1097
158,1351
159,1434
160,2089
161,2447
162,1793
163,911
164,377
165,1905
166,631
167,522
168,2095
169,1321
170,4063
171,1306
172,1291
173,1505
174,1793
175,1009
176,1885
177,1770
178,992
179,1744
180,895
181,931
182,2044
183,767
184,853
185,697
186,667
187,4202
188,776
189,1016
190,1408
191,1799
192,710
193,843
194,1177
195,696
196,1027
197,880
198,612
199,637
200,764
201,947
202,1079
203,313
204,761
205,720
206,289
207,1138
208,913
209,651
210,480
211,530
212,1227
213,765
214,1231
215,966
216,1816
217,537
218,388
219,708
220,796
221,606
222,730
223,862
224,535
225,808
226,567
227,820
228,1000
229,557
230,1278
231,832
232,197
233,467
234,680
235,724
236,185
237,602
238,517
239,643
240,437
241,1381
242,619
243,1880
244,212
245,196
246,512
247,114
248,304
249,523
250,258
251,250
252,547
253,844
254,246
255,789
256,350
257,501
258,445
259,138
260,271
261,326
262,476
263,359
264,531
265,620
266,621
267,383
268,381
269,112
270,558
271,210
272,271
273,397
274,554
275,247
276,394
277,169
278,1464
279,370
280,86
281,352
282,474
283,240
284,329
285,1414
286,304
287,192
288,299
289,387
290,475
291,326
292,441
293,269
294,159
295,227
296,268
297,229
298,130
299,110
300,543
301,135
302,194
303,304
304,235
305,288
306,106
307,1932
308,273
309,166
310,293
311,355
312,392
313,103
314,402
315,88
316,201
317,255
318,70
319,190
320,317
321,121
322,239
323,161
324,97
325,655
326,124
327,230
328,169
329,163
330,276
331,195
332,190
333,223
334,1325
335,183
336,110
337,232
338,154
339,285
340,150
341,152
342,127
343,201
344,288
345,279
346,307
347,60
348,118
349,73
350,160
351,204
352,173
353,167
354,133
355,150
356,97
357,121
358,180
359,87
360,213
361,227
362,104
363,99
364,551
365,184
366,183
367,132
368,55
369,275
370,162
371,115
372,234
373,62
374,126
375,164
376,117
377,171
378,84
379,144
380,321
381,66
382,92
383,170
384,131
385,101
386,94
387,166
388,112
389,86
390,233
391,55
392,361
393,194
394,204
395,110
396,118
397,96
398,229
399,174
400,610
401,168
402,114
403,89
404,175
405,52
406,95
407,102
408,85
409,84
410,76
411,105
412,120
413,105
414,22
415,71
416,216
417,72
418,92
419,71
420,61
421,126
422,140
423,45
424,53
425,46
426,28
427,97
428,113
429,90
430,78
431,93
432,89
433,73
434,186
435,105
436,18
437,38
438,483
439,82
440,59
441,96
442,87
