size,mean_output,sd_output,n
1,1.7362,0.9406,755725
2,2.2078,1.7888,114696
3,3.2089,2.7262,67123
4,4.065,3.542,44974
5,4.8972,4.2633,32103
6,5.7735,4.8755,24227
7,6.5514,5.4084,18544
8,7.6546,6.2584,14591
9,8.4819,6.8723,11643
10,9.3836,7.4831,9500
11,10.33,8.5281,7954
12,11.246,9.3192,6582
13,12.3807,9.7575,5548
14,13.1683,10.795,4745
15,14.4329,11.3902,4268
16,15.1885,12.3478,3592
17,16.0807,12.7668,3154
18,17.1971,13.974,2923
19,17.7577,14.0046,2596
20,19.227,15.3802,2289
21,20.0706,17.1357,2009
22,22.0008,17.5525,1932
23,22.3577,17.9535,1701
24,22.937,19.3324,1585
25,24.7429,20.1394,1365
26,25.1456,20.6288,1352
27,26.1464,21.5355,1207
28,27.3113,22.7514,1244
29,28.8923,23.9277,1079
30,28.8046,24.5657,1024
31,29.55,24.3593,930
32,29.2049,25.0498,869
33,32.1174,27.8658,832
34,31.6628,25.9185,774
35,35.5673,28.068,699
36,35.7794,31.0889,659
37,37.2908,32.5582,632
38,38.6187,32.0579,603
39,39.7122,33.2313,621
40,38.437,33.8645,549
41,38.2519,33.366,503
42,43.2631,35.5486,517
43,40.2733,34.266,470
44,42.9069,34.8584,448
45,42.6501,36.2283,476
46,46.2913,40.1874,419
47,46.6129,39.7289,437
48,46.216,39.2216,387
49,49.3352,41.4829,344
50,45.7727,40.7168,355
51,49.5279,40.9129,329
52,57.2309,47.9422,361
53,51.5779,40.8932,355
54,56.7899,48.5027,303
55,56.1378,48.9374,315
56,56.2784,46.6043,253
57,53.5529,44.5593,271
58,54.6507,47.7804,229
59,62.3402,49.7407,234
60,61.7927,53.7095,262
61,53.8394,50.3579,215
62,59.4242,54.8141,246
63,56.3411,46.5691,196
64,59.4119,50.5883,205
65,62.1057,50.3815,204
66,63.6282,51.9904,200
67,68.1248,52.3689,204
68,68.0711,59.84,196
69,69.0007,58.2267,198
70,66.6103,60.3861,169
71,70.308,59.5332,169
72,70.1925,58.2363,156
73,71.9823,60.8562,165
74,83.4231,73.7594,173
75,77.5158,63.8209,176
76,75.9105,61.4584,145
77,88.6615,70.8167,163
78,74.661,65.1733,154
79,80.2553,66.4595,162
80,78.3302,62.2007,136
81,78.1731,63.3051,151
82,74.1821,61.738,151
83,76.2326,66.2388,122
84,91.0362,68.9861,127
85,84.2835,76.9957,143
86,83.9319,68.4826,125
87,84.8317,64.4073,130
88,84.385,75.5826,129
89,73.9498,70.749,129
90,83.8,69.0836,114
91,88.503,81.2415,119
92,101.0164,83.0721,119
93,93.3127,81.1297,107
94,88.1519,73.7361,102
95,92.0787,85.0098,88
96,82.9714,65.0543,101
97,115.5377,95.6637,107
98,100.125,88.4441,95
99,96.8312,79.6469,90
100,103.4271,85.1233,98
101,94.8184,87.3252,88
102,100.5527,88.389,92
103,111.5859,104.8929,85
104,123.3645,98.144,83
105,103.838,90.5297,106
106,99.7124,95.7668,78
107,108.5494,88.0985,96
108,84.9301,70.082,94
109,102.8631,94.9954,84
110,117.2646,102.1711,78
111,104.8356,91.5754,85
112,111.2922,89.3699,83
