output_bin,count
0,244354
1,333246
2,284803
3,114970
4,33102
5,26445
6,20027
7,15205
8,12128
9,9762
10,8043
11,6798
12,5757
13,4690
14,4317
15,3677
16,3211
17,2835
18,2495
19,2161
20,2039
21,1916
22,1698
23,1555
24,1472
25,1308
26,1227
27,1123
28,969
29,1004
30,885
31,889
32,828
33,740
34,726
35,683
36,659
37,581
38,564
39,568
40,500
41,474
42,438
43,445
44,448
45,430
46,357
47,348
48,344
49,339
50,330
51,368
52,281
53,303
54,291
55,241
56,240
57,250
58,241
59,242
60,264
61,243
62,189
63,194
64,202
65,217
66,202
67,177
68,180
69,194
70,169
71,170
72,147
73,171
74,145
75,138
76,139
77,159
78,136
79,136
80,147
81,120
82,143
83,119
84,116
85,127
86,116
87,119
88,76
89,106
90,120
91,107
92,106
93,90
94,123
95,109
96,83
97,82
98,97
99,93
100,100
101,87
102,90
103,88
104,72
105,100
106,74
107,83
108,71
109,76
110,73
111,73
112,59
113,70
114,61
115,49
116,71
117,69
118,62
119,67
120,66
121,66
122,64
123,61
124,64
125,51
126,64
127,46
128,54
129,52
130,51
131,52
132,68
133,44
134,62
135,51
136,49
137,48
138,57
139,53
140,51
141,50
142,33
143,45
144,40
145,38
146,35
147,37
148,40
149,39
150,34
151,33
152,34
153,45
154,34
155,36
156,38
157,33
158,44
159,35
160,38
161,37
162,42
163,43
164,38
165,30
166,38
167,47
168,29
169,29
170,40
171,28
172,24
173,31
174,23
175,27
176,34
177,28
178,21
179,31
180,25
181,22
182,28
183,32
184,23
185,27
186,28
187,26
188,24
189,20
190,17
191,29
192,23
193,31
194,18
195,27
196,20
197,24
198,25
199,30
200,34
201,21
202,31
203,20
204,19
205,23
206,20
207,22
208,31
209,18
210,21
211,19
212,19
213,17
214,16
215,25
216,27
217,16
218,17
219,24
220,27
221,20
222,17
223,19
224,15
225,20
226,14
227,17
228,19
229,19
230,18
231,19
232,8
233,17
234,12
235,18
236,23
237,18
238,13
239,17
240,19
241,20
242,25
243,19
244,14
245,17
246,26
247,12
248,18
249,19
250,21
251,13
252,13
253,13
254,13
255,18
256,12
257,11
258,11
259,10
260,16
261,15
262,20
263,15
264,14
265,18
266,10
267,11
268,12
269,17
270,15
271,11
272,9
273,16
274,10
275,13
276,17
277,15
278,11
279,18
280,8
281,14
282,15
283,15
284,7
285,15
286,9
287,13
288,4
289,14
290,7
291,15
292,15
293,11
294,9
295,15
296,9
297,11
298,11
299,15
300,13
301,15
302,11
303,9
304,8
305,10
306,8
307,11
308,9
309,14
310,6
311,9
312,11
313,7
314,13
315,5
316,6
317,15
318,10
319,20
320,11
321,13
322,3
323,8
324,12
325,9
326,6
327,7
328,6
329,12
330,10
331,10
332,10
333,10
334,9
335,5
336,7
337,6
338,11
339,11
340,8
341,7
342,7
343,13
344,15
345,8
346,13
347,5
348,6
349,5
350,14
351,10
352,8
353,8
354,5
355,8
356,5
357,5
358,6
359,7
360,5
361,11
362,8
363,5
364,12
365,8
366,6
367,2
