size,count
1,755725
2,114696
3,67123
4,44974
5,32103
6,24227
7,18544
8,14591
9,11643
10,9500
11,7954
12,6582
13,5548
14,4745
15,4268
16,3592
17,3154
18,2923
19,2596
20,2289
21,2009
22,1932
23,1701
24,1585
25,1365
26,1352
27,1207
28,1244
29,1079
30,1024
31,930
32,869
33,832
34,774
35,699
36,659
37,632
38,603
39,621
40,549
41,503
42,517
43,470
44,448
45,476
46,419
47,437
48,387
49,344
50,355
51,329
52,361
53,355
54,303
55,315
56,253
57,271
58,229
59,234
60,262
61,215
62,246
63,196
64,205
65,204
66,200
67,204
68,196
69,198
70,169
71,169
72,156
73,165
74,173
75,176
76,145
77,163
78,154
79,162
80,136
81,151
82,151
83,122
84,127
85,143
86,125
87,130
88,129
89,129
90,114
91,119
92,119
93,107
94,102
95,88
96,101
97,107
98,95
99,90
100,98
101,88
102,92
103,85
104,83
105,106
106,78
107,96
108,94
109,84
110,78
111,85
112,83
113,86
114,66
115,66
116,80
117,61
118,62
119,59
120,66
121,75
122,65
123,64
124,54
125,53
126,68
127,60
128,64
129,57
130,57
131,59
132,55
133,60
134,59
135,57
136,49
137,52
138,52
139,45
140,44
141,41
142,51
143,42
144,49
145,43
146,42
147,42
148,55
149,38
150,40
151,52
152,41
153,40
154,55
155,35
156,27
157,45
158,48
159,33
160,31
161,40
162,38
163,37
164,30
165,31
166,37
167,39
168,33
169,38
170,43
171,24
172,23
173,38
174,36
175,39
176,33
177,29
178,38
179,27
180,23
181,37
182,27
183,38
184,26
185,26
186,31
187,33
188,31
189,27
190,24
191,32
192,22
193,31
194,28
195,22
196,25
197,24
198,28
199,24
200,13
201,20
202,25
203,21
204,15
205,17
206,17
207,25
208,22
209,23
210,15
211,29
212,16
213,25
214,19
215,24
216,19
217,15
218,22
219,20
220,18
221,33
222,25
223,24
224,25
225,28
226,22
227,21
228,21
229,18
230,17
231,14
232,26
233,21
234,24
235,17
236,26
237,17
238,18
239,6
240,21
241,26
242,16
243,21
244,21
245,14
246,6
247,23
248,13
249,20
250,24
251,19
252,21
253,12
254,15
255,11
256,12
257,13
258,11
259,14
260,17
261,9
262,16
263,21
264,18
265,13
266,16
267,13
268,9
269,20
270,15
271,12
272,17
273,7
274,15
275,17
276,16
277,23
278,15
279,19
280,13
281,9
282,18
283,14
284,18
285,9
286,7
287,11
288,8
289,15
290,18
291,9
292,14
293,14
294,15
295,19
296,12
297,9
298,11
299,9
300,16
301,12
302,9
303,10
304,15
305,12
306,10
307,7
308,15
309,9
310,9
311,8
312,12
313,7
314,16
315,11
316,11
317,12
318,16
319,13
320,13
321,15
322,8
323,11
324,9
325,8
326,9
327,12
328,11
329,9
330,11
331,9
332,4
333,7
334,10
335,12
336,8
337,7
338,7
339,7
340,7
341,10
342,7
343,10
344,9
345,7
346,2
347,10
348,8
349,9
350,12
351,10
352,7
353,12
354,15
355,4
356,8
357,5
358,6
359,9
360,8
361,7
362,5
363,10
364,4
365,6
366,12
367,5
368,14
369,12
370,7
371,9
372,7
373,12
374,11
375,14
376,11
377,9
378,15
379,11
380,9
381,3
382,6
383,7
384,5
385,8
386,5
387,7
388,4
389,4
390,8
391,5
392,11
393,10
394,9
395,3
396,7
397,7
398,4
399,6
400,8
401,6
402,4
403,5
404,3
405,5
406,3
407,3
408,5
409,4
410,5
411,4
412,11
413,5
414,4
415,5
416,3
417,8
418,4
419,5
420,9
421,6
422,7
423,5
424,7
425,4
