run_id,year,mean_size,n_firms
1,2000,9.0394,30518
1,2001,9.06,30175
1,2002,9.0434,28456
1,2003,9.1121,29196
1,2004,9.1128,30492
1,2005,9.1015,32620
1,2006,9.079,34413
1,2007,9.0756,35034
1,2008,9.0974,34357
1,2009,9.1692,34850
1,2010,9.2037,33631
1,2011,9.173,32544
1,2012,9.1695,31469
1,2013,9.2113,30908
1,2014,9.2631,29623
1,2015,9.2779,29492
1,2016,9.2971,29769
1,2017,9.219,31270
1,2018,9.2159,32413
1,2019,9.2667,35405
1,2020,9.3138,38869
1,2021,9.2902,43045
1,2022,9.3796,46141
1,2023,9.4435,48631
1,2024,9.5322,50560
1,2025,9.643,54445
1,2026,9.6471,57915
1,2027,9.632,62831
1,2028,9.6862,68166
1,2029,9.6449,72257
1,2030,9.6966,77272
1,2031,9.7146,79288
1,2032,9.8211,80349
1,2033,9.7899,81650
1,2034,9.8127,79967
1,2035,9.8817,78150
1,2036,9.8627,80211
1,2037,9.8998,82749
1,2038,9.8674,78978
1,2039,9.9553,77171
1,2040,10.0325,76322
1,2041,9.984,78057
1,2042,9.9445,78114
1,2043,9.9435,76057
1,2044,9.9641,74622
1,2045,9.9345,71633
1,2046,9.9664,70571
1,2047,9.9655,68074
1,2048,10.0103,67297
1,2049,10.0413,65216
1,2050,10.0551,63862
1,2051,10.1094,64042
1,2052,10.1315,61698
1,2053,10.0906,60145
1,2054,10.028,58177
1,2055,10.0775,56666
1,2056,9.9682,57122
1,2057,9.9775,56500
1,2058,9.966,54048
1,2059,9.9233,51820
1,2060,9.9367,49412
1,2061,9.9783,47466
1,2062,10.0306,46806
1,2063,10.1043,46103
1,2064,10.1198,45485
1,2065,10.0729,48518
1,2066,10.0311,53234
1,2067,10.0508,57477
1,2068,9.9941,62758
1,2069,10.0038,67432
1,2070,10.0146,70144
1,2071,10.0811,72869
1,2072,10.1779,73355
1,2073,10.2237,77658
1,2074,10.3261,78720
1,2075,10.2729,81841
1,2076,10.2916,83054
1,2077,10.2994,83039
1,2078,10.2581,85352
1,2079,10.1932,87184
1,2080,10.2609,86816
1,2081,10.3367,83719
1,2082,10.3977,82880
1,2083,10.3934,79804
1,2084,10.362,79067
1,2085,10.382,77340
1,2086,10.3665,74758
1,2087,10.4011,73402
1,2088,10.4422,70417
1,2089,10.441,68698
1,2090,10.2441,67865
1,2091,10.2386,66836
1,2092,10.2808,65540
1,2093,10.2677,63744
1,2094,10.1689,61797
1,2095,10.0724,55724
1,2096,10.1217,54413
1,2097,10.2526,54094
1,2098,10.2918,53464
1,2099,10.2539,51470
1,2100,10.2454,50808
1,2101,10.2563,50602
1,2102,10.1905,50479
1,2103,10.139,46326
1,2104,10.1646,46083
1,2105,10.2428,45719
1,2106,10.1704,45295
1,2107,10.1861,44436
1,2108,10.1731,44079
1,2109,10.0713,42553
1,2110,9.9224,36489
1,2111,9.8692,35681
1,2112,9.9756,35048
1,2113,10.0578,34944
1,2114,10.0599,34451
1,2115,9.9536,31474
1,2116,9.9027,29904
1,2117,9.9899,29564
1,2118,9.9496,29451
1,2119,9.8431,25470
1,2120,9.7624,25155
1,2121,9.7886,24861
1,2122,9.7307,24047
1,2123,9.7153,22669
1,2124,9.6189,21640
1,2125,9.6333,20984
1,2126,9.5704,20511
1,2127,9.584,20501
1,2128,9.6224,20415
1,2129,9.5736,20410
1,2130,9.5107,19937
1,2131,9.6206,21616
1,2132,9.5501,23558
1,2133,9.6094,25234
1,2134,9.6002,27646
1,2135,9.5074,30581
1,2136,9.5291,31999
1,2137,9.5645,34317
1,2138,9.5387,36276
1,2139,9.4197,39553
1,2140,9.491,41256
1,2141,9.451,44231
1,2142,9.4477,45711
1,2143,9.4445,45847
1,2144,9.4719,47232
1,2145,9.3849,49630
1,2146,9.4025,48617
1,2147,9.3883,49016
1,2148,9.4361,49942
1,2149,9.4382,49197
1,2150,9.4931,48617
1,2151,9.4793,48226
1,2152,9.4928,52217
1,2153,9.5189,58078
1,2154,9.5139,64382
1,2155,9.4826,71150
1,2156,9.461,78514
1,2157,9.5497,83376
1,2158,9.4998,91292
1,2159,9.477,98806
1,2160,9.5142,104636
1,2161,9.4594,112594
1,2162,9.5258,121732
1,2163,9.5459,126638
1,2164,9.5986,131530
1,2165,9.5708,138667
1,2166,9.6209,138740
1,2167,9.6317,147847
1,2168,9.6711,147048
1,2169,9.6524,152362
1,2170,9.6969,152160
1,2171,9.6671,157034
1,2172,9.6425,163822
1,2173,9.6807,160554
1,2174,9.6214,168004
1,2175,9.606,165567
1,2176,9.5958,160467
1,2177,9.5896,156632
1,2178,9.5221,153625
1,2179,9.5098,146450
1,2180,9.4801,145518
1,2181,9.528,142305
1,2182,9.4958,137699
1,2183,9.506,136626
1,2184,9.4197,129925
1,2185,9.3678,127210
1,2186,9.2884,123506
1,2187,9.2095,122298
1,2188,9.1545,115820
1,2189,9.2174,113907
1,2190,9.158,105338
1,2191,9.1086,98929
1,2192,9.1156,94060
1,2193,8.9852,87409
1,2194,8.9467,83571
1,2195,8.9379,79592
1,2196,8.9919,78362
1,2197,8.9136,72170
1,2198,8.9816,70983
1,2199,9.0242,70268
1,2200,9.1063,69703
1,2201,9.0913,63299
1,2202,9.0129,61009
1,2203,8.9216,53741
1,2204,8.897,51942
1,2205,8.9708,50901
1,2206,8.9462,49921
1,2207,8.9903,49770
1,2208,8.9933,49342
1,2209,8.9596,51636
1,2210,9.0798,51664
1,2211,9.0165,53653
1,2212,8.9518,56002
1,2213,8.9874,55622
1,2214,8.966,56995
1,2215,9.0142,59337
1,2216,9.0505,61121
1,2217,9.131,59533
1,2218,9.1918,60330
1,2219,9.1221,60564
1,2220,9.183,60524
1,2221,9.2108,59666
1,2222,9.3025,58978
1,2223,9.3334,57154
1,2224,9.3616,56364
1,2225,9.3746,53825
1,2226,9.3467,55430
1,2227,9.3529,56345
1,2228,9.4327,55341
1,2229,9.4463,55412
