tenure,count
0,424668
1,358547
2,432228
3,339975
4,370726
5,354625
6,437015
7,289610
8,423138
9,309791
10,269016
11,364900
12,265952
13,202426
14,371457
15,267503
16,92834
17,188011
18,439453
19,209228
20,162098
21,75808
22,121881
23,65199
24,330487
25,142448
26,225138
27,83994
28,289698
29,115683
30,65178
31,202036
32,70887
33,242193
34,15072
35,196762
36,48647
37,389585
38,11909
39,25710
40,19165
41,9377
42,142662
43,35191
44,360172
45,13778
46,20960
47,295530
48,18254
49,74909
50,5842
51,7079
52,12600
53,11138
54,10070
55,64512
56,3187
57,42072
58,49051
59,92408
60,51940
61,115365
62,15183
63,106220
64,6531
65,105403
66,2553
67,16584
68,39365
69,3075
70,13041
71,33823
72,17481
73,1501
74,35304
75,3286
76,2472
77,2016
78,932
79,22379
80,4260
81,135202
82,2193
83,7876
84,6259
85,1928
86,5989
87,5193
88,8922
89,801
90,4252
91,96144
92,2611
93,2620
94,1372
95,751
96,16864
97,1324
98,1798
99,2066
100,913
101,2231
102,405
103,4261
104,539
105,2395
106,1668
107,1344
108,3734
109,357
110,41681
111,1000
112,405
113,148020
114,740
115,14683
116,2043
117,475
118,2101
119,1136
120,434
121,2118
122,16514
123,81505
124,2147
125,3992
126,1624
127,4505
128,1639
129,341
130,2088
131,889
132,31847
133,2924
134,578
135,763
136,1178
137,391
138,2170
139,16300
140,332
141,583
142,129
143,807
144,3684
145,293
146,1011
147,1515
148,592
149,191
150,1355
151,888
152,1428
153,180
154,361
155,246
156,1310
157,355
158,330
159,307
160,729
161,699
162,618
163,143
164,88
165,1038
166,194
167,173
168,844
169,378
170,1116
171,914
172,423
173,551
174,641
175,412
176,656
177,631
178,277
179,598
180,872
181,169
182,798
183,250
184,329
185,547
186,246
187,3280
188,579
189,284
190,699
191,554
192,165
193,423
194,486
195,208
196,511
197,360
198,155
199,190
200,305
201,320
202,334
203,66
204,373
205,324
206,82
207,416
208,285
209,172
210,828
211,175
212,543
213,119
214,462
215,356
216,559
217,224
218,165
219,238
220,310
221,285
222,176
223,272
224,239
225,227
226,216
227,335
228,341
229,308
230,526
231,430
232,54
233,203
234,329
235,202
236,77
237,330
238,219
239,300
240,146
241,682
242,269
243,2501
244,119
245,75
246,261
247,66
248,140
249,257
250,161
251,88
252,266
253,445
254,126
255,410
256,196
257,251
258,167
259,73
260,101
261,198
262,222
263,164
264,190
265,352
266,374
267,188
268,213
269,59
270,274
271,146
272,143
273,115
274,301
275,122
276,212
277,82
278,2641
279,170
280,61
281,221
282,242
283,130
284,180
285,1663
286,166
287,97
288,165
289,211
290,268
291,192
292,246
293,130
294,82
295,116
296,103
297,82
298,71
299,83
300,304
301,68
302,140
303,180
304,121
305,150
306,65
307,1549
308,160
309,84
310,140
311,202
312,193
313,58
314,234
315,66
316,104
317,154
318,43
319,111
320,169
321,47
322,144
323,49
324,48
325,358
326,77
327,117
328,90
329,93
330,163
331,85
332,91
333,153
334,1082
335,91
336,60
337,70
338,93
339,146
340,56
341,92
342,73
343,128
344,149
345,168
346,159
347,41
348,85
349,56
350,102
351,106
352,82
353,72
354,93
355,95
356,73
357,63
358,129
359,47
360,118
361,127
362,44
363,58
364,423
365,116
366,106
367,92
368,38
369,180
370,94
371,78
372,172
373,29
374,75
375,99
376,73
377,117
378,66
379,89
380,205
381,53
382,60
383,121
384,91
385,54
386,66
387,124
388,78
389,66
390,148
391,37
392,282
393,132
394,145
395,80
396,88
397,74
398,154
399,145
400,522
401,116
402,77
403,76
404,130
405,48
406,74
407,78
408,71
409,59
410,46
411,82
412,66
413,72
414,19
415,54
416,171
417,57
418,59
419,51
420,46
421,98
422,75
423,39
424,35
425,36
426,21
427,48
428,78
429,58
430,65
431,70
432,58
433,57
434,143
435,77
436,17
437,30
438,436
439,57
440,45
441,76
442,67
443,80
444,118
445,114
446,120
447,101
448,130
449,29
450,90
451,68
452,67
453,84
454,99
455,68
456,195
457,49
458,108
459,14
460,144
461,38
462,62
463,40
464,95
465,58
466,39
467,31
468,110
469,83
470,38
471,23
472,45
473,114
474,80
475,41
476,61
477,54
478,34
479,49
480,96
481,34
482,94
483,45
484,78
485,436
486,105
487,66
488,71
489,78
490,49
491,116
492,16
493,34
494,34
495,52
496,69
497,90
498,51
499,55
500,62
501,89
502,80
503,28
504,59
505,55
506,56
507,42
508,41
509,88
510,39
511,16
512,34
513,153
514,23
515,67
516,9
517,81
518,47
519,57
520,127
521,57
522,64
523,92
524,66
525,20
526,101
527,69
528,47
529,42
530,42
531,46
532,19
533,41
534,57
535,12
536,375
537,63
538,53
539,36
540,72
541,76
542,66
543,93
544,56
545,51
546,43
547,101
548,66
549,54
550,45
551,42
552,30
553,46
554,59
555,7
556,91
557,36
558,60
559,136
560,26
561,43
562,22
563,57
564,25
565,37
566,37
567,84
568,24
569,79
570,29
571,69
572,56
573,48
574,26
575,52
576,178
577,29
578,37
579,36
580,43
581,29
582,48
583,61
584,16
585,31
586,58
587,41
588,63
589,64
590,156
591,54
592,48
593,40
594,45
595,34
596,32
597,29
598,38
599,35
600,48
601,51
602,12
603,33
604,43
605,62
606,13
607,44
608,62
609,38
610,32
611,43
612,36
613,19
614,103
615,34
616,43
617,11
618,11
619,24
620,47
621,41
622,53
623,39
624,24
625,31
626,60
627,53
628,37
629,70
630,28
631,23
632,57
633,46
634,61
635,61
636,26
637,24
638,46
639,59
640,58
641,15
642,31
643,148
644,82
645,61
646,25
647,40
648,49
649,23
650,9
651,28
652,18
653,52
654,34
655,48
656,8
657,14
658,120
659,52
660,29
661,21
662,54
663,22
664,35
665,37
666,28
667,26
668,36
669,19
670,46
671,14
672,38
673,37
674,26
675,47
676,35
677,15
678,24
679,51
680,14
681,21
682,17
683,19
684,28
685,32
686,34
687,48
688,66
689,28
690,35
691,38
692,60
693,48
694,37
695,25
696,20
697,76
698,15
699,40
700,26
701,32
702,22
703,36
704,41
705,35
706,26
707,22
708,17
709,8
710,17
711,39
712,35
713,30
714,20
715,46
716,23
717,30
718,48
719,32
720,9
721,41
722,20
723,38
724,30
725,26
726,8
727,36
728,51
729,19
730,150
731,22
732,18
733,38
734,15
735,21
736,35
737,45
738,25
739,12
740,7
741,16
742,25
743,33
744,23
745,45
746,34
747,7
748,10
749,50
750,16
751,29
752,14
753,31
754,31
755,18
756,19
757,21
758,36
759,20
760,25
761,42
762,13
763,29
764,23
765,27
766,14
767,37
768,7
769,6
770,39
771,25
772,32
773,25
774,37
775,44
776,17
777,15
778,37
779,48
780,9
781,30
782,25
783,24
784,15
785,18
786,11
787,30
788,24
789,23
790,28
791,21
792,19
793,24
794,16
795,45
796,20
797,70
798,35
799,36
800,10
801,36
802,36
803,18
804,12
805,21
806,12
807,19
808,16
809,23
810,32
811,31
812,26
813,22
814,24
815,23
816,13
817,14
818,8
819,20
820,35
821,14
822,29
823,10
824,25
825,12
826,16
827,25
828,21
829,27
830,31
831,23
832,25
833,36
834,12
835,36
836,13
837,7
838,31
839,17
840,10
841,29
842,16
843,40
844,27
845,6
846,32
847,30
848,15
849,19
850,10
851,19
852,34
853,28
854,14
855,16
856,9
857,16
858,39
859,19
860,21
861,20
862,24
863,19
864,29
865,8
866,3
867,20
868,23
869,22
870,22
871,19
872,19
873,18
874,48
875,21
876,8
877,16
878,29
879,19
880,18
881,4
882,15
883,12
884,10
885,14
886,84
887,28
888,17
889,25
890,22
891,26
892,14
893,13
894,15
895,23
896,20
897,25
898,17
899,10
900,31
901,73
902,41
903,13
904,26
905,9
906,17
907,25
908,16
909,14
910,6
911,27
912,27
913,14
914,26
915,108
916,11
917,15
918,26
919,21
920,22
921,22
922,14
923,22
924,38
925,16
926,28
927,22
928,16
929,36
930,16
931,56
932,25
933,19
934,55
935,12
936,25
937,9
938,6
939,14
940,14
941,32
942,15
943,20
944,14
945,19
946,18
947,6
948,19
949,19
950,28
951,15
952,22
953,58
954,25
955,1
956,35
957,13
958,14
959,11
960,20
961,4
962,24
963,16
964,18
965,19
966,21
967,13
968,17
969,21
970,45
971,22
972,10
973,55
974,15
975,11
976,16
977,14
978,15
979,25
980,17
981,24
982,14
983,3
984,14
985,24
986,14
987,17
988,16
989,54
990,7
991,11
992,21
993,21
994,8
995,12
996,11
997,13
998,15
999,7
1000,22
1001,19
1002,14
1003,6
1004,4
1005,8
1006,11
1007,9
1008,22
1009,17
1010,21
1011,19
1012,22
1013,19
1014,11
1015,21
1016,17
1017,8
1018,24
1019,10
1020,12
1021,7
1022,27
1023,12
1024,6
1025,14
1026,13
1027,5
1028,20
1029,19
1030,14
1031,18
1032,15
1033,4
1034,14
1035,12
1036,8
1037,8
1038,14
1039,63
1040,8
1041,1
1042,10
1043,13
1044,5
1045,5
1046,11
1047,10
1048,11
1049,13
1050,11
1051,14
1052,16
1053,8
1054,4
1055,12
1056,18
1057,10
1058,6
1059,14
1060,34
1061,19
1062,20
1063,20
1064,11
1065,16
1066,10
1067,29
1068,7
1069,5
1070,20
1071,15
1072,16
1073,9
1074,9
1075,10
1076,17
1077,16
1078,12
1079,12
1080,21
1081,17
1082,12
1083,25
1084,15
1085,15
1086,8
1087,23
1088,24
1089,3
1090,9
1091,6
1092,18
1093,8
1094,12
1095,10
1096,20
1097,6
1098,25
1099,9
1100,17
1101,8
1102,12
1103,11
1104,10
1105,12
1106,12
1107,14
1108,24
1109,13
1110,8
1111,10
1112,25
1113,16
1114,2
1115,14
1116,17
1117,6
1118,12
1119,1
1120,10
1121,17
1122,16
1123,11
1124,19
1125,5
1126,7
1127,16
1128,2
1129,13
1130,5
1131,8
1132,10
1133,6
1134,14
1135,14
1136,15
1137,7
1138,18
1139,14
1140,9
1141,7
1142,7
1143,12
1144,39
1145,9
1146,13
1147,5
1148,10
1149,14
1150,8
1151,4
1152,9
1153,8
1154,11
1155,16
1156,16
1157,15
1158,22
1159,7
1160,8
1161,8
1162,14
1163,2
1164,38
1165,14
1166,29
1167,11
1168,7
1169,5
1170,11
1171,22
1172,10
1173,14
1174,11
1175,4
1176,9
1177,8
1178,10
1179,15
1180,9
1181,6
1182,16
1183,6
1184,5
1185,5
1186,7
1187,10
1188,7
1189,5
1190,7
1191,15
1192,12
1193,8
1194,8
1195,11
1196,1
1197,9
1198,20
1199,11
1200,13
1201,13
1202,10
1203,6
1204,9
1205,10
1206,6
1207,10
1208,6
1209,4
1210,4
1211,6
1212,7
1213,14
1214,15
1215,6
1216,8
1217,19
1218,8
1219,6
1220,11
1221,16
1222,2
1223,8
1224,6
1225,18
1226,22
1227,25
1228,19
1229,3
1230,11
1231,10
1232,12
1233,5
1234,2
1235,8
1236,12
1237,10
1238,20
1239,5
1240,12
1241,20
1242,11
1243,9
1244,19
1245,7
1246,8
1247,13
1248,15
1249,7
1250,6
1251,10
1252,3
