run_id,year,total_firms,entries,exits
1,2000,132752,989,1729
1,2001,132451,2637,2938
1,2002,132694,2273,2030
1,2003,131693,769,1770
1,2004,131683,1338,1348
1,2005,131847,2870,2706
1,2006,132173,2527,2201
1,2007,132223,1699,1649
1,2008,131906,940,1257
1,2009,130873,1701,2734
1,2010,130383,722,1212
1,2011,130818,1401,966
1,2012,130869,1450,1399
1,2013,130275,542,1136
1,2014,129546,1202,1931
1,2015,129339,2179,2386
1,2016,129072,1893,2160
1,2017,130166,2444,1350
1,2018,130210,2084,2040
1,2019,129496,2835,3549
1,2020,128841,1406,2061
1,2021,129169,2490,2162
1,2022,127937,1041,2273
1,2023,127072,693,1558
1,2024,125889,397,1580
1,2025,124442,1584,3031
1,2026,124390,1236,1288
1,2027,124585,2272,2077
1,2028,123887,2602,3300
1,2029,124418,1832,1301
1,2030,123755,2198,2861
1,2031,123525,1207,1437
1,2032,122186,1115,2454
1,2033,122575,1564,1175
1,2034,122291,988,1272
1,2035,121436,419,1274
1,2036,121670,2054,1820
1,2037,121214,2373,2829
1,2038,121612,1315,917
1,2039,120539,459,1532
1,2040,119611,1752,2680
1,2041,120192,2551,1970
1,2042,120670,2307,1829
1,2043,120682,941,929
1,2044,120432,1301,1551
1,2045,120791,1984,1625
1,2046,120405,654,1040
1,2047,120415,1438,1428
1,2048,119876,2435,2974
1,2049,119507,1809,2178
1,2050,119342,948,1113
1,2051,118701,2567,3208
1,2052,118442,1096,1355
1,2053,118923,2062,1581
1,2054,119665,2216,1474
1,2055,119077,1128,1716
1,2056,120383,2899,1593
1,2057,120271,2552,2664
1,2058,120410,1480,1341
1,2059,120928,2384,1866
1,2060,120765,1422,1585
1,2061,120261,1561,2065
1,2062,119634,1331,1958
1,2063,118761,1091,1964
1,2064,118580,1171,1352
1,2065,119132,2848,2296
1,2066,119628,2632,2136
1,2067,119394,1823,2057
1,2068,120071,2419,1742
1,2069,119954,2291,2408
1,2070,119825,1168,1297
1,2071,119035,1441,2231
1,2072,117903,741,1873
1,2073,117374,2474,3003
1,2074,116210,1040,2204
1,2075,116812,1967,1365
1,2076,116600,1441,1653
1,2077,116512,1499,1587
1,2078,116981,2180,1711
1,2079,117725,2415,1671
1,2080,116949,1277,2053
1,2081,116091,1021,1879
1,2082,115410,1694,2375
1,2083,115458,1074,1026
1,2084,115808,2011,1661
1,2085,115585,1122,1345
1,2086,115758,2104,1931
1,2087,115372,1071,1457
1,2088,114918,1236,1690
1,2089,114932,2320,2306
1,2090,117141,3112,903
1,2091,117203,2004,1942
1,2092,116723,1111,1591
1,2093,116871,1389,1241
1,2094,118007,2744,1608
1,2095,119137,2438,1308
1,2096,118557,1104,1684
1,2097,117044,349,1862
1,2098,116598,872,1318
1,2099,117029,2292,1861
1,2100,117126,1345,1248
1,2101,117001,733,858
1,2102,117757,2152,1396
1,2103,118355,2289,1691
1,2104,118057,898,1196
1,2105,117156,1078,1979
1,2106,117989,1679,846
1,2107,117808,1711,1892
1,2108,117958,1259,1109
1,2109,119150,2284,1092
1,2110,120939,3166,1377
1,2111,121590,1961,1310
1,2112,120294,630,1926
1,2113,119310,396,1380
1,2114,119286,1872,1896
1,2115,120559,2982,1709
1,2116,121179,1998,1378
1,2117,120121,916,1974
1,2118,120608,1688,1201
1,2119,121913,2515,1210
1,2120,122920,3107,2100
1,2121,122591,1327,1656
1,2122,123321,2642,1912
1,2123,123517,1766,1570
1,2124,124754,2250,1013
1,2125,124568,1441,1627
1,2126,125387,2297,1478
1,2127,125209,1092,1270
1,2128,124709,3032,3532
1,2129,125345,1650,1014
1,2130,126174,2942,2113
1,2131,124732,669,2111
1,2132,125653,2188,1267
1,2133,124878,837,1612
1,2134,124998,1798,1678
1,2135,126218,2708,1488
1,2136,125930,1071,1359
1,2137,125464,1637,2103
1,2138,125803,1485,1146
1,2139,127392,3380,1791
1,2140,126436,974,1930
1,2141,126971,2208,1673
1,2142,127015,1285,1241
1,2143,127058,1188,1145
1,2144,126691,1620,1987
1,2145,127865,2562,1388
1,2146,127626,1078,1317
